,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus
27,Bursa,CCGT,CCGT,PP,TR,1522.0,0.1812849162011173,,0.0,0.0,0.0,1995.0,1995.0,2035.0,40.286966666666665,29.0737,"{nan, nan, nan}","{'GGPT': {'L100000408832', 'L100000405899'}, 'GEO': {'GEO-43071'}, 'GPD': {'WRI1018751'}}",346
28,Bosen Bursa,CCGT,CCGT,PP,TR,263.0,,,0.0,0.0,0.0,1993.0,1993.0,2033.0,40.2377,28.9534,"{nan, nan, nan}","{'GGPT': {'L100000405897'}, 'GEO': {'GEO-43070'}, 'GPD': {'WRI1018770', 'WRI1018766'}}",248
29,Enka Gebze,CCGT,CCGT,PP,TR,1600.0,,,0.0,0.0,0.0,2002.0,2002.0,2042.0,40.867057,30.38757,"{nan, nan}","{'GGPT': {'L100000405908'}, 'GEO': {'GEO-43063'}, 'GPD': {'WRI1018749'}}",1115
30,Ambarli,CCGT,CCGT,PP,TR,2169.0,,,0.0,0.0,0.0,1988.0,1988.0,2028.0,40.982375000000005,28.693925,"{nan, nan, nan, nan}","{'GGPT': {'L100000405893', 'L100000405892'}, 'GEO': {'GEO-42974'}, 'GPD': {'WRI1018752', 'WRI1018760'}}",439
31,Aksa Antalya,CCGT,CCGT,PP,TR,900.0,0.4617391304347825,,0.0,0.0,0.0,2008.0,2008.0,2048.0,37.1203,30.6016,{nan},"{'GGPT': {'L100000405889'}, 'GEO': {'GEO-43077'}, 'GPD': {'WRI1018754'}}",713
32,Ataturk,Hydro,Reservoir,PP,TR,2405.0,,,0.0,0.0,0.0,1992.0,1992.0,2092.0,37.4819,38.3189,{nan},"{'GHPT': {'G603629'}, 'GEO': {'GEO-42971'}, 'GPD': {'WRI1018917'}}",116
33,Altinkaya,Hydro,Reservoir,PP,TR,703.0,,,0.0,0.0,0.0,1987.0,1987.0,2087.0,41.3668,35.7245,{nan},"{'GHPT': {'G603623'}, 'GEO': {'GEO-43086'}, 'GPD': {'WRI1018914'}}",1844
34,Bandirma,CCGT,CCGT,PP,TR,1543.38,0.3837614618810584,,0.0,0.0,0.0,2010.0,2010.0,2050.0,40.30835,27.76863,"{nan, nan}","{'GGPT': {'L100000405895'}, 'GEO': {'GEO-45085', 'GEO-45086'}, 'GPD': {'WRI1018764'}}",765
35,Orhaneli,Lignite,Steam Turbine,PP,TR,210.0,,,0.0,0.0,0.0,1992.0,1992.0,2037.0,39.950224,28.870214,{nan},"{'GCPT': {'G100000107675'}, 'GEO': {'GEO-43080'}, 'GPD': {'WRI1018721'}}",514
36,Zetes Stations,Hard Coal,Steam Turbine,PP,TR,2790.0,,,0.0,0.0,0.0,2010.0,2010.0,2055.0,41.50842556,31.89754218,"{nan, nan, nan, nan, nan}","{'GCPT': {'G100000111554', 'G100000111555', 'G100000111552', 'G100000111556', 'G100000111553'}, 'GEO': {'GEO-43087'}, 'GPD': {'WRI1018702'}}",964
37,Yatagan,Lignite,Steam Turbine,PP,TR,630.0,,,0.0,0.0,0.0,1983.0,1983.0,2028.0,37.330905,28.102377,"{nan, nan, nan}","{'GCPT': {'G100000111334', 'G100000111335', 'G100000111333'}, 'GEO': {'GEO-43074'}, 'GPD': {'WRI1018709'}}",330
41,Yenikoy,Lignite,Steam Turbine,PP,TR,420.0,,,0.0,0.0,0.0,1986.0,1986.0,2031.0,37.14019,27.87154,"{nan, nan}","{'GCPT': {'G100000111355', 'G100000111354'}, 'GEO': {'GEO-43073'}, 'GPD': {'WRI1018713'}}",329
42,Kemerkoy,Lignite,Steam Turbine,PP,TR,630.0,,,0.0,0.0,0.0,1994.0,1994.0,2039.0,37.035362,27.900592,"{nan, nan, nan}","{'GCPT': {'G100000105655', 'G100000105654', 'G100000105653'}, 'GEO': {'GEO-43072'}, 'GPD': {'WRI1018708'}}",1696
43,Kangal,Lignite,Steam Turbine,PP,TR,457.0,,,0.0,0.0,0.0,1987.0,1987.0,2032.0,39.077483,37.294973,"{nan, nan, nan}","{'GCPT': {'G100000105541', 'G100000105539', 'G100000105540'}, 'GEO': {'GEO-43068'}, 'GPD': {'WRI1018712'}}",549
44,Isken Sugozu,Hard Coal,Steam Turbine,PP,TR,1210.0,,,0.0,0.0,0.0,2003.0,2003.0,2048.0,36.83502,35.879104,"{nan, nan}","{'GCPT': {'G100000104916', 'G100000104915'}, 'GEO': {'GEO-43075'}, 'GPD': {'WRI1018704'}}",1695
45,Cayirhan,Lignite,Steam Turbine,PP,TR,620.0,,,0.0,0.0,0.0,1987.0,1987.0,2032.0,40.097,31.695,"{nan, nan, nan, nan}","{'GCPT': {'G100000101245', 'G100000101244', 'G100000101243', 'G100000101242'}, 'GEO': {'GEO-43067'}, 'GPD': {'WRI1018710'}}",264
46,Catalagzi,Lignite,Steam Turbine,PP,TR,314.0,,,0.0,0.0,0.0,1989.0,1989.0,2034.0,41.517402,31.900198,"{nan, nan}","{'GCPT': {'G100000101239', 'G100000101238'}, 'GEO': {'GEO-43066'}, 'GPD': {'WRI1018718'}}",964
47,Izdemir Enerji,Hard Coal,Steam Turbine,PP,TR,370.0,,,0.0,0.0,0.0,2014.0,2014.0,2059.0,38.74173,26.92917,{nan},"{'GCPT': {'G100000113786'}, 'GPD': {'WRI1018716'}}",176
48,Afsin Elbistan Stations,Lignite,Steam Turbine,PP,TR,2460.0,,,0.0,0.0,0.0,1984.0,1984.0,2029.0,38.350685199999994,37.00033152857143,"{nan, nan, nan, nan, nan, nan, nan}","{'GCPT': {'G100000100068', 'G100000100067', 'G100000100069', 'G100000100071', 'G100000100072', 'G100000100074', 'G100000100073'}, 'GEO': {'GEO-42973', 'GEO-42972'}}",281
49,Kirklareli Alarko,CCGT,CCGT,PP,TR,82.0,,,0.0,0.0,0.0,2005.0,2005.0,2045.0,41.7781,27.1921,{nan},"{'GGPT': {'L100000405921'}, 'GEO': {'GEO-43122'}}",1048
50,Adana,CCGT,CCGT,CHP,TR,131.0,,,0.0,0.0,0.0,2001.0,2001.0,2041.0,36.988153,35.204129,{nan},"{'GGPT': {'L100000405888'}, 'GEO': {'GEO-43118'}}",382
51,Torul,Hydro,Reservoir,PP,TR,106.0,,,0.0,0.0,0.0,2009.0,2009.0,2109.0,40.6352,39.2311,{nan},"{'GHPT': {'G603704'}, 'GEO': {'GEO-43108'}}",900
52,Kurtun,Hydro,Reservoir,PP,TR,84.0,,,0.0,0.0,0.0,2004.0,2004.0,2104.0,40.6826,39.125,{nan},"{'GHPT': {'G603686'}, 'GEO': {'GEO-43105'}}",900
53,Hasan Ugurlu,Hydro,Reservoir,PP,TR,500.0,,,0.0,0.0,0.0,1979.0,1979.0,2079.0,40.9365,36.6462,{nan},"{'GHPT': {'G603663'}, 'GEO': {'GEO-43085'}}",897
54,Aslantas,Hydro,Reservoir,PP,TR,138.0,,,0.0,0.0,0.0,1984.0,1984.0,2084.0,37.2716,36.2718,{nan},"{'GHPT': {'G603628'}, 'GEO': {'GEO-43095'}}",1321
55,Yunus Emre,Lignite,Steam Turbine,PP,TR,290.0,,,0.0,0.0,0.0,2021.0,2021.0,2066.0,39.984309,31.635639,"{nan, nan}","{'GCPT': {'G100000111501', 'G100000111500'}, 'GPD': {'WRI1018723'}}",1349
56,Polat,Lignite,Steam Turbine,PP,TR,51.0,,,0.0,0.0,0.0,2013.0,2013.0,2058.0,39.616008,29.442904,{nan},"{'GCPT': {'G100000108070'}, 'GPD': {'WRI1018725'}}",73
57,Kardemir Karabuk Demir Celik,Hard Coal,Steam Turbine,PP,TR,77.5,,,0.0,0.0,0.0,2007.0,2007.0,2052.0,41.514274,31.909608,{nan},"{'GCPT': {'G100000105557'}, 'GPD': {'WRI1018724'}}",964
58,Ic Anadolu,CCGT,CCGT,PP,TR,853.0,,,0.0,0.0,0.0,2016.0,2016.0,2056.0,39.7575,33.448,{nan},"{'GGPT': {'L100000405933'}, 'GPD': {'WRI1018765'}}",157
59,Cengiz Enerji Samsun,CCGT,CCGT,CHP,TR,1112.9,,,0.0,0.0,0.0,2010.0,2010.0,2050.0,41.2393,36.4799,"{nan, nan, nan, nan}","{'GGPT': {'L100000405900'}, 'GPD': {'WRI1018759'}}",600
60,Enka Adapazari,CCGT,CCGT,PP,TR,820.0,,,0.0,0.0,0.0,2002.0,2002.0,2042.0,40.866,30.3873,{nan},"{'GGPT': {'L100000405907'}, 'GPD': {'WRI1018762'}}",1115
61,Icdas Bekirli,Lignite,Steam Turbine,PP,TR,1200.0,,,0.0,0.0,0.0,2011.0,2011.0,2056.0,40.39953,27.04973,"{nan, nan}","{'GCPT': {'G100000104820', 'G100000104821'}, 'GPD': {'WRI1018706'}}",1330
62,Cenal,Hard Coal,Steam Turbine,PP,TR,1320.0,,,0.0,0.0,0.0,2017.0,2017.0,2062.0,40.4167,27.31829,"{nan, nan}","{'GCPT': {'G100000101260', 'G100000101259'}, 'GPD': {'WRI1075555'}}",205
63,Bolu Goynuk,Lignite,Steam Turbine,PP,TR,270.0,,,0.0,0.0,0.0,2015.0,2015.0,2060.0,40.2514,30.8129,"{nan, nan}","{'GCPT': {'G100000101003', 'G100000101004'}, 'GPD': {'WRI1018719'}}",1578
64,Sanliurfa Osb,CCGT,CCGT,CHP,TR,147.07,,,0.0,0.0,0.0,2011.0,2011.0,2051.0,37.1103,38.652,{nan},"{'GGPT': {'L100000407673'}, 'GPD': {'WRI1018779'}}",407
65,Samsun Cengiz Ccge Turkey,Oil,CCGT,PP,TR,122.27628539864428,,,0.0,0.0,0.0,2003.0,2003.0,2043.0,41.2407,36.4776,"{nan, nan}","{'GEO': {'GEO-43114'}, 'GPD': {'WRI1018699'}}",600
66,Hopa Turkey,Oil,Steam Turbine,PP,TR,46.31677477221374,,,0.0,0.0,0.0,1992.0,1992.0,2032.0,41.4193,41.4393,"{nan, nan}","{'GEO': {'GEO-44581'}, 'GPD': {'WRI1018693'}}",1592
67,Can Coal Turkey,Lignite,,PP,TR,295.0847605580794,,,0.0,0.0,0.0,2003.0,2003.0,2048.0,40.0225,26.9781,"{nan, nan}","{'GEO': {'GEO-43065'}, 'GPD': {'WRI1018717'}}",654
69,Atlas Enerji Iskenderun,Hard Coal,Steam Turbine,PP,TR,1200.0,,,0.0,0.0,0.0,2014.0,2014.0,2059.0,36.69028,36.20909,"{nan, nan}","{'GCPT': {'G100000100401', 'G100000114501'}, 'GPD': {'WRI1018705'}}",322
