,bus_id,station_id,voltage,dc,symbol,under_construction,tag_substation,tag_area,lon,lat,country,geometry,substation_lv
471,471,333,154000,False,substation,False,transmission,0.0,26.9618,40.7623,TR,POINT (26.9618 40.7623),True
472,472,334,154000,False,substation,False,transmission,0.0,26.6266,40.881,TR,POINT (26.6266 40.881),True
473,473,335,154000,False,substation,False,transmission,0.0,26.7159,41.2699,TR,POINT (26.7159 41.2699),True
474,474,336,154000,False,substation,False,transmission,0.0,27.0791,41.3596,TR,POINT (27.0791 41.3596),True
475,475,337,154000,False,substation,False,transmission,0.0,27.2663,41.3965,TR,POINT (27.2663 41.3965),True
476,476,338,380000,False,substation,False,transmission,0.0,27.4766,41.4809,TR,POINT (27.4766 41.4809),True
477,477,339,154000,False,substation,False,transmission,0.0,27.3365,41.4085,TR,POINT (27.3365 41.4085),True
478,478,340,154000,False,substation,False,transmission,0.0,27.5007,41.6286,TR,POINT (27.5007 41.6286),True
479,479,341,154000,False,substation,False,transmission,0.0,28.6123,41.1588,TR,POINT (28.6123 41.1588),True
480,480,342,154000,False,substation,False,transmission,0.0,28.0236,40.2536,TR,POINT (28.0236 40.2536),True
481,481,343,154000,False,substation,False,transmission,0.0,29.086,40.36,TR,POINT (29.086 40.36),True
482,482,344,154000,False,substation,False,transmission,0.0,29.1654,40.3827,TR,POINT (29.1654 40.3827),True
483,483,345,154000,False,substation,False,transmission,0.0,30.682,40.7782,TR,POINT (30.682 40.7782),True
484,484,346,154000,False,substation,False,transmission,0.0,30.3784,40.7421,TR,POINT (30.3784 40.7421),True
485,485,346,380000,False,substation,False,transmission,0.0,30.3794,40.7431,TR,POINT (30.3794 40.7431),False
486,486,347,380000,False,substation,False,transmission,0.0,30.3926,40.8215,TR,POINT (30.3926 40.8215),True
487,487,348,154000,False,substation,False,transmission,0.0,39.6151,40.0075,TR,POINT (39.6151 40.0075),True
488,488,349,154000,False,substation,False,transmission,0.0,39.9187,40.7256,TR,POINT (39.9187 40.7256),True
489,489,350,380000,False,substation,False,transmission,0.0,39.8014,40.9308,TR,POINT (39.8014 40.9308),True
490,490,351,154000,False,substation,False,transmission,0.0,39.9201,40.9423,TR,POINT (39.9201 40.9423),True
491,491,352,154000,False,substation,False,transmission,0.0,31.4525,36.8054,TR,POINT (31.4525 36.8054),True
492,492,353,154000,False,substation,False,transmission,0.0,31.587,40.7389,TR,POINT (31.587 40.7389),True
493,493,354,380000,False,substation,False,transmission,0.0,33.0387,40.8216,TR,POINT (33.0387 40.8216),True
494,494,355,154000,False,substation,False,transmission,0.0,30.5265,39.2914,TR,POINT (30.5265 39.2914),True
495,495,356,154000,False,substation,False,transmission,0.0,37.4048,37.0839,TR,POINT (37.4048 37.0839),True
496,496,357,154000,False,substation,False,transmission,0.0,37.5205,37.08,TR,POINT (37.5205 37.08),True
497,497,358,154000,False,substation,False,transmission,0.0,37.1442,37.0806,TR,POINT (37.1442 37.0806),True
498,498,359,154000,False,substation,False,transmission,0.0,37.4217,37.0159,TR,POINT (37.4217 37.0159),True
499,499,360,154000,False,substation,False,transmission,0.0,37.2606,37.0699,TR,POINT (37.2606 37.0699),True
500,500,361,154000,False,substation,False,transmission,0.0,37.8443,37.543,TR,POINT (37.8443 37.543),True
501,501,362,154000,False,substation,False,transmission,0.0,38.1015,37.6849,TR,POINT (38.1015 37.6849),True
502,502,363,154000,False,substation,False,transmission,0.0,43.363,38.5348,TR,POINT (43.363 38.5348),True
503,503,364,154000,False,substation,False,transmission,0.0,43.3414,39.0502,TR,POINT (43.3414 39.0502),True
504,504,365,154000,False,substation,False,transmission,0.0,27.3724,37.9918,TR,POINT (27.3724 37.9918),True
505,505,365,380000,False,substation,False,transmission,0.0,27.3734,37.9928,TR,POINT (27.3734 37.9928),False
506,506,366,380000,False,substation,False,transmission,0.0,41.0072,39.4953,TR,POINT (41.0072 39.4953),True
507,507,367,154000,False,substation,False,transmission,0.0,28.1556,38.6077,TR,POINT (28.1556 38.6077),True
508,508,367,380000,False,substation,False,transmission,0.0,28.1566,38.6087,TR,POINT (28.1566 38.6087),False
509,509,368,154000,False,substation,False,transmission,0.0,27.4252,38.6222,TR,POINT (27.4252 38.6222),True
510,510,369,154000,False,substation,False,transmission,0.0,28.1408,38.5148,TR,POINT (28.1408 38.5148),True
511,511,370,154000,False,substation,False,transmission,0.0,27.3396,38.6118,TR,POINT (27.3396 38.6118),True
512,512,370,380000,False,substation,False,transmission,0.0,27.3406,38.6128,TR,POINT (27.3406 38.6128),False
513,513,371,154000,False,substation,False,transmission,0.0,29.6301,40.272,TR,POINT (29.6301 40.272),True
514,514,372,154000,False,substation,False,transmission,0.0,28.8744,39.9526,TR,POINT (28.8744 39.9526),True
515,515,373,154000,False,substation,False,transmission,0.0,29.2059,39.9104,TR,POINT (29.2059 39.9104),True
516,516,374,154000,False,substation,False,transmission,0.0,35.0926,42.0064,TR,POINT (35.0926 42.0064),True
517,517,375,154000,False,substation,False,transmission,0.0,36.0348,36.1055,TR,POINT (36.0348 36.1055),True
518,518,376,154000,False,substation,False,transmission,0.0,30.6232,40.6337,TR,POINT (30.6232 40.6337),True
519,519,377,154000,False,substation,False,transmission,0.0,33.3199,36.7282,TR,POINT (33.3199 36.7282),True
520,520,378,154000,False,substation,False,transmission,0.0,33.3654,36.6801,TR,POINT (33.3654 36.6801),True
521,521,379,154000,False,substation,False,transmission,0.0,34.4881,38.9805,TR,POINT (34.4881 38.9805),True
522,522,380,154000,False,substation,False,transmission,0.0,34.6392,38.8728,TR,POINT (34.6392 38.8728),True
523,523,381,154000,False,substation,False,transmission,0.0,35.2454,38.1704,TR,POINT (35.2454 38.1704),True
524,524,381,380000,False,substation,False,transmission,0.0,35.2464,38.1714,TR,POINT (35.2464 38.1714),False
525,525,382,154000,False,substation,False,transmission,0.0,35.1341,38.2427,TR,POINT (35.1341 38.2427),True
526,526,382,380000,False,substation,False,transmission,0.0,35.1351,38.2437,TR,POINT (35.1351 38.2437),False
527,527,383,154000,False,substation,False,transmission,0.0,35.2992,38.4199,TR,POINT (35.2992 38.4199),True
528,528,384,154000,False,substation,False,transmission,0.0,35.1868,38.5604,TR,POINT (35.1868 38.5604),True
529,529,385,154000,False,substation,False,transmission,0.0,35.2677,38.9041,TR,POINT (35.2677 38.9041),True
530,530,386,154000,False,substation,False,transmission,0.0,37.6326,39.2486,TR,POINT (37.6326 39.2486),True
531,531,387,154000,False,substation,False,transmission,0.0,38.0963,39.4002,TR,POINT (38.0963 39.4002),True
532,532,388,154000,False,substation,False,transmission,0.0,39.6824,38.3946,TR,POINT (39.6824 38.3946),True
533,533,389,154000,False,substation,False,transmission,0.0,34.9934,40.5802,TR,POINT (34.9934 40.5802),True
534,534,389,380000,False,substation,False,transmission,0.0,34.9944,40.5812,TR,POINT (34.9944 40.5812),False
535,535,390,380000,False,substation,False,transmission,0.0,35.9126,40.3591,TR,POINT (35.9126 40.3591),True
536,536,391,380000,False,substation,False,transmission,0.0,36.043,40.1751,TR,POINT (36.043 40.1751),True
537,537,392,154000,False,substation,False,transmission,0.0,33.3351,40.7848,TR,POINT (33.3351 40.7848),True
538,538,392,380000,False,substation,False,transmission,0.0,33.3361,40.7858,TR,POINT (33.3361 40.7858),False
539,539,393,154000,False,substation,False,transmission,0.0,33.4422,40.1126,TR,POINT (33.4422 40.1126),True
540,540,393,380000,False,substation,False,transmission,0.0,33.4432,40.1136,TR,POINT (33.4432 40.1136),False
541,541,394,154000,False,substation,False,transmission,0.0,34.1348,39.1637,TR,POINT (34.1348 39.1637),True
542,542,395,154000,False,substation,False,transmission,0.0,33.5213,39.2736,TR,POINT (33.5213 39.2736),True
543,543,396,154000,False,substation,False,transmission,0.0,32.9263,39.9627,TR,POINT (32.9263 39.9627),True
544,544,397,154000,False,substation,False,transmission,0.0,33.4168,39.3961,TR,POINT (33.4168 39.3961),True
545,545,398,154000,False,substation,False,transmission,0.0,34.2791,39.0874,TR,POINT (34.2791 39.0874),True
546,546,399,154000,False,substation,False,transmission,0.0,41.1951,38.1471,TR,POINT (41.1951 38.1471),True
547,547,400,154000,False,substation,False,transmission,0.0,41.041,38.1323,TR,POINT (41.041 38.1323),True
548,548,401,380000,False,substation,False,transmission,0.0,37.072,39.5851,TR,POINT (37.072 39.5851),True
549,549,402,154000,False,substation,False,transmission,0.0,37.2964,39.0795,TR,POINT (37.2964 39.0795),True
550,550,402,380000,False,substation,False,transmission,0.0,37.2974,39.0805,TR,POINT (37.2974 39.0805),False
551,551,403,154000,False,substation,False,transmission,0.0,34.2632,40.1399,TR,POINT (34.2632 40.1399),True
552,552,404,154000,False,substation,False,transmission,0.0,37.2436,38.2071,TR,POINT (37.2436 38.2071),True
553,553,405,154000,False,substation,False,transmission,0.0,37.1722,38.2986,TR,POINT (37.1722 38.2986),True
554,554,406,154000,False,substation,False,transmission,0.0,37.316,38.1281,TR,POINT (37.316 38.1281),True
555,555,407,380000,False,substation,False,transmission,0.0,37.3091,38.3675,TR,POINT (37.3091 38.3675),True
556,556,408,380000,False,substation,False,transmission,0.0,36.5977,38.8715,TR,POINT (36.5977 38.8715),True
557,557,409,154000,False,substation,False,transmission,0.0,35.4567,38.7252,TR,POINT (35.4567 38.7252),True
558,558,410,154000,False,substation,False,transmission,0.0,35.3822,38.7393,TR,POINT (35.3822 38.7393),True
559,559,411,154000,False,substation,False,transmission,0.0,33.4377,39.4466,TR,POINT (33.4377 39.4466),True
560,560,412,154000,False,substation,False,transmission,0.0,33.5019,39.5047,TR,POINT (33.5019 39.5047),True
561,561,413,154000,False,substation,False,transmission,0.0,33.4339,39.3222,TR,POINT (33.4339 39.3222),True
562,562,414,154000,False,substation,False,transmission,0.0,33.5015,39.8158,TR,POINT (33.5015 39.8158),True
563,563,415,154000,False,substation,False,transmission,0.0,34.1838,39.2394,TR,POINT (34.1838 39.2394),True
564,564,416,154000,False,substation,False,transmission,0.0,34.2574,39.3353,TR,POINT (34.2574 39.3353),True
565,565,417,154000,False,substation,False,transmission,0.0,34.3909,39.5419,TR,POINT (34.3909 39.5419),True
566,566,418,154000,False,substation,False,transmission,0.0,34.6649,39.7093,TR,POINT (34.6649 39.7093),True
567,567,419,154000,False,substation,False,transmission,0.0,35.2362,39.18,TR,POINT (35.2362 39.18),True
568,568,420,154000,False,substation,False,transmission,0.0,35.035,38.9471,TR,POINT (35.035 38.9471),True
569,569,421,154000,False,substation,False,transmission,0.0,35.2167,39.256,TR,POINT (35.2167 39.256),True
570,570,422,154000,False,substation,False,transmission,0.0,34.9538,39.7936,TR,POINT (34.9538 39.7936),True
571,571,423,154000,False,substation,False,transmission,0.0,34.7008,40.1671,TR,POINT (34.7008 40.1671),True
572,572,424,154000,False,substation,False,transmission,0.0,34.7941,39.8897,TR,POINT (34.7941 39.8897),True
573,573,425,154000,False,substation,False,transmission,0.0,34.8146,40.0178,TR,POINT (34.8146 40.0178),True
574,574,426,154000,False,substation,False,transmission,0.0,34.9419,40.4745,TR,POINT (34.9419 40.4745),True
575,575,427,154000,False,substation,False,transmission,0.0,34.8661,40.4793,TR,POINT (34.8661 40.4793),True
576,576,428,154000,False,substation,False,transmission,0.0,35.2541,40.5433,TR,POINT (35.2541 40.5433),True
577,577,429,154000,False,substation,False,transmission,0.0,37.4855,38.5742,TR,POINT (37.4855 38.5742),True
578,578,430,380000,False,substation,False,transmission,0.0,36.3697,38.8538,TR,POINT (36.3697 38.8538),True
579,579,431,380000,False,substation,False,transmission,0.0,37.4984,38.8175,TR,POINT (37.4984 38.8175),True
580,580,432,380000,False,substation,False,transmission,0.0,36.082,38.834,TR,POINT (36.082 38.834),True
581,581,433,380000,False,substation,False,transmission,0.0,37.3054,38.8467,TR,POINT (37.3054 38.8467),True
582,582,434,380000,False,substation,False,transmission,0.0,37.0116,38.8279,TR,POINT (37.0116 38.8279),True
583,583,435,380000,False,substation,False,transmission,0.0,36.8849,38.8406,TR,POINT (36.8849 38.8406),True
584,584,436,154000,False,substation,False,transmission,0.0,37.6946,38.7259,TR,POINT (37.6946 38.7259),True
585,585,436,380000,False,substation,False,transmission,0.0,37.6956,38.7269,TR,POINT (37.6956 38.7269),False
586,586,437,154000,False,substation,False,transmission,0.0,37.8633,38.9851,TR,POINT (37.8633 38.9851),True
587,587,438,154000,False,substation,False,transmission,0.0,37.9142,38.8495,TR,POINT (37.9142 38.8495),True
588,588,439,154000,False,substation,False,transmission,0.0,38.8049,38.74,TR,POINT (38.8049 38.74),True
589,589,440,154000,False,substation,False,transmission,0.0,39.7481,38.2883,TR,POINT (39.7481 38.2883),True
590,590,441,154000,False,substation,False,transmission,0.0,42.0231,38.3375,TR,POINT (42.0231 38.3375),True
591,591,442,154000,False,substation,False,transmission,0.0,40.6435,37.2524,TR,POINT (40.6435 37.2524),True
592,592,442,380000,False,substation,False,transmission,0.0,40.6445,37.2534,TR,POINT (40.6445 37.2534),False
593,593,443,154000,False,substation,False,transmission,0.0,42.093,38.5596,TR,POINT (42.093 38.5596),True
594,594,444,154000,False,substation,False,transmission,0.0,40.9217,37.898,TR,POINT (40.9217 37.898),True
595,595,444,380000,False,substation,False,transmission,0.0,40.9227,37.899,TR,POINT (40.9227 37.899),False
596,596,445,154000,False,substation,False,transmission,0.0,41.0638,40.1836,TR,POINT (41.0638 40.1836),True
597,597,446,154000,False,substation,False,transmission,0.0,40.6662,39.9287,TR,POINT (40.6662 39.9287),True
598,598,447,154000,False,substation,False,transmission,0.0,40.397,39.7886,TR,POINT (40.397 39.7886),True
599,599,448,154000,False,substation,False,transmission,0.0,36.3232,40.0298,TR,POINT (36.3232 40.0298),True
600,600,449,154000,False,substation,False,transmission,0.0,36.4563,41.2292,TR,POINT (36.4563 41.2292),True
601,601,449,380000,False,substation,False,transmission,0.0,36.4573,41.2302,TR,POINT (36.4573 41.2302),False
602,602,450,154000,False,substation,False,transmission,0.0,38.461,40.0739,TR,POINT (38.461 40.0739),True
603,603,451,154000,False,substation,False,transmission,0.0,38.5037,40.1544,TR,POINT (38.5037 40.1544),True
604,604,452,154000,False,substation,False,transmission,0.0,38.6363,40.8968,TR,POINT (38.6363 40.8968),True
605,605,452,380000,False,substation,False,transmission,0.0,38.6373,40.8978,TR,POINT (38.6373 40.8978),False
606,606,453,154000,False,substation,False,transmission,0.0,39.4226,40.3819,TR,POINT (39.4226 40.3819),True
607,607,454,154000,False,substation,False,transmission,0.0,39.5144,40.4274,TR,POINT (39.5144 40.4274),True
608,608,455,154000,False,substation,False,transmission,0.0,31.9473,37.4357,TR,POINT (31.9473 37.4357),True
609,609,456,154000,False,substation,False,transmission,0.0,36.5806,37.9737,TR,POINT (36.5806 37.9737),True
610,610,457,154000,False,substation,False,transmission,0.0,43.3256,40.902,TR,POINT (43.3256 40.902),True
611,611,458,154000,False,substation,False,transmission,0.0,30.8375,38.1302,TR,POINT (30.8375 38.1302),True
