Bus,busmap
112,BJ0 0
1,NG0 0
10,NG0 3
106,NG0 5
107,NG0 4
108,NG0 2
12,NG0 3
127,NG0 3
128,NG0 5
129,NG0 5
131,NG0 3
133,NG0 5
135,NG0 2
136,NG0 5
139,NG0 5
14,NG0 3
141,NG0 7
143,NG0 5
147,NG0 0
148,NG0 0
149,NG0 3
151,NG0 2
154,NG0 2
158,NG0 2
16,NG0 2
160,NG0 3
17,NG0 1
179,NG0 4
183,NG0 6
184,NG0 2
185,NG0 2
189,NG0 2
195,NG0 2
198,NG0 7
199,NG0 0
20,NG0 4
200,NG0 2
201,NG0 2
202,NG0 2
206,NG0 3
210,NG0 0
217,NG0 3
219,NG0 2
22,NG0 4
227,NG0 2
235,NG0 7
24,NG0 2
25,NG0 7
27,NG0 2
29,NG0 2
3,NG0 7
30,NG0 5
32,NG0 5
36,NG0 0
38,NG0 2
39,NG0 5
40,NG0 4
42,NG0 4
44,NG0 3
45,NG0 5
47,NG0 1
48,NG0 0
5,NG0 2
52,NG0 6
57,NG0 2
59,NG0 5
63,NG0 5
66,NG0 4
67,NG0 5
68,NG0 5
7,NG0 5
70,NG0 0
74,NG0 0
77,NG0 6
80,NG0 5
84,NG0 4
9,NG0 0
90,NG0 3
92,NG0 1
96,NG0 2
98,NG0 5
60,NG1 0
