Bus,busmap
10,TR0 1
1000,TR0 1
1001,TR0 1
1002,TR0 1
1007,TR0 2
1008,TR0 0
101,TR0 2
1010,TR0 0
1012,TR0 4
1013,TR0 4
1014,TR0 4
1015,TR0 4
1016,TR0 4
1017,TR0 3
1018,TR0 4
1019,TR0 4
102,TR0 2
1020,TR0 0
1022,TR0 1
1023,TR0 1
1024,TR0 1
1026,TR0 1
1027,TR0 1
1028,TR0 1
103,TR0 1
1030,TR0 1
1031,TR0 1
1033,TR0 1
1037,TR0 1
1038,TR0 4
1039,TR0 4
1042,TR0 4
1043,TR0 3
1044,TR0 3
1046,TR0 1
1048,TR0 1
1049,TR0 3
1050,TR0 4
1051,TR0 4
1052,TR0 4
1053,TR0 2
1055,TR0 4
1056,TR0 4
1057,TR0 3
106,TR0 2
1061,TR0 1
1062,TR0 4
1063,TR0 4
1065,TR0 4
1066,TR0 4
1067,TR0 4
1068,TR0 4
1069,TR0 2
1071,TR0 1
1073,TR0 1
1074,TR0 3
1075,TR0 2
1076,TR0 2
1079,TR0 1
108,TR0 4
1081,TR0 2
1082,TR0 0
1083,TR0 0
1084,TR0 0
1085,TR0 0
1087,TR0 0
1088,TR0 0
1089,TR0 0
1091,TR0 0
1094,TR0 0
1095,TR0 4
1097,TR0 2
1098,TR0 0
1099,TR0 0
110,TR0 1
1100,TR0 0
1101,TR0 3
1102,TR0 2
1103,TR0 4
1104,TR0 4
1105,TR0 2
1106,TR0 2
1107,TR0 2
1108,TR0 2
1109,TR0 4
1111,TR0 2
1112,TR0 2
1115,TR0 1
1117,TR0 1
1118,TR0 1
1119,TR0 1
1120,TR0 1
1121,TR0 2
1123,TR0 1
1124,TR0 1
1125,TR0 1
1126,TR0 1
1128,TR0 3
1129,TR0 3
1130,TR0 3
1131,TR0 3
1132,TR0 2
1133,TR0 2
1134,TR0 1
1136,TR0 4
1138,TR0 2
1140,TR0 0
1142,TR0 4
1144,TR0 3
1146,TR0 2
1147,TR0 2
1148,TR0 0
1149,TR0 0
115,TR0 4
1151,TR0 4
1152,TR0 4
1153,TR0 3
1157,TR0 0
1158,TR0 0
1160,TR0 0
1162,TR0 0
1163,TR0 4
1164,TR0 4
1166,TR0 4
1167,TR0 3
1168,TR0 3
1170,TR0 2
1171,TR0 1
1172,TR0 4
1173,TR0 0
1174,TR0 1
1175,TR0 1
1176,TR0 1
1177,TR0 1
1178,TR0 1
1179,TR0 1
118,TR0 3
1180,TR0 3
1181,TR0 3
1182,TR0 3
1184,TR0 1
1187,TR0 0
1188,TR0 1
1189,TR0 1
119,TR0 2
1190,TR0 1
1191,TR0 1
1192,TR0 1
1193,TR0 1
1194,TR0 1
1195,TR0 1
1196,TR0 0
1197,TR0 2
12,TR0 3
1200,TR0 4
1201,TR0 0
1202,TR0 0
1203,TR0 0
1204,TR0 0
1206,TR0 2
1207,TR0 3
1208,TR0 4
1209,TR0 3
1210,TR0 3
1211,TR0 2
1212,TR0 0
1213,TR0 0
1215,TR0 0
1216,TR0 0
1217,TR0 0
1222,TR0 2
1223,TR0 2
1224,TR0 2
1225,TR0 2
1226,TR0 2
1227,TR0 3
1229,TR0 1
1230,TR0 2
1231,TR0 2
1232,TR0 2
1233,TR0 4
1234,TR0 1
1237,TR0 4
1238,TR0 4
1239,TR0 4
124,TR0 4
1241,TR0 4
1244,TR0 4
1245,TR0 3
1246,TR0 3
1248,TR0 2
1249,TR0 2
1250,TR0 4
1251,TR0 4
1252,TR0 4
1253,TR0 4
1254,TR0 4
1255,TR0 0
1256,TR0 0
1257,TR0 4
1258,TR0 4
126,TR0 1
1260,TR0 4
1261,TR0 4
1263,TR0 3
1264,TR0 3
1265,TR0 4
