Bus,busmap
152,TR0 45
1522,TR0 17
1523,TR0 47
1525,TR0 48
1528,TR0 47
1529,TR0 47
1530,TR0 47
1531,TR0 47
1532,TR0 41
1533,TR0 32
1535,TR0 27
1539,TR0 9
1541,TR0 1
1542,TR0 41
1543,TR0 41
1545,TR0 43
1546,TR0 43
1549,TR0 2
155,TR0 7
1552,TR0 18
1554,TR0 18
1556,TR0 29
1558,TR0 42
1559,TR0 42
1561,TR0 8
1562,TR0 28
1564,TR0 28
1565,TR0 16
1566,TR0 22
1567,TR0 43
1568,TR0 5
1569,TR0 35
1570,TR0 35
1571,TR0 35
1572,TR0 34
1573,TR0 5
1575,TR0 13
1576,TR0 9
1583,TR0 11
1585,TR0 11
1588,TR0 38
159,TR0 27
160,TR0 40
1604,TR0 9
1609,TR0 0
1610,TR0 0
1613,TR0 44
1615,TR0 25
1617,TR0 46
1618,TR0 25
1620,TR0 31
1621,TR0 28
1622,TR0 46
1625,TR0 20
1627,TR0 41
1628,TR0 32
1629,TR0 32
163,TR0 24
1630,TR0 11
1631,TR0 17
1637,TR0 3
1639,TR0 43
1640,TR0 3
1642,TR0 13
1645,TR0 15
1647,TR0 28
1648,TR0 28
1652,TR0 33
1654,TR0 14
1655,TR0 24
1656,TR0 24
1658,TR0 13
1659,TR0 22
166,TR0 36
1660,TR0 17
1663,TR0 24
1670,TR0 18
1679,TR0 38
168,TR0 41
1680,TR0 18
1681,TR0 23
1682,TR0 11
1683,TR0 33
1688,TR0 23
169,TR0 45
1690,TR0 32
1691,TR0 32
1692,TR0 8
1694,TR0 0
1695,TR0 3
1696,TR0 46
1698,TR0 2
1699,TR0 10
17,TR0 29
1700,TR0 12
1701,TR0 38
1702,TR0 16
1703,TR0 16
1704,TR0 34
1706,TR0 12
1708,TR0 18
1711,TR0 43
1712,TR0 28
1713,TR0 19
1714,TR0 42
1715,TR0 25
1716,TR0 32
1718,TR0 15
1720,TR0 33
1722,TR0 33
1724,TR0 27
1725,TR0 33
1727,TR0 43
173,TR0 2
1730,TR0 6
1731,TR0 18
1732,TR0 13
1735,TR0 22
1736,TR0 18
1739,TR0 25
1740,TR0 23
1742,TR0 29
1743,TR0 13
1745,TR0 18
1748,TR0 13
1749,TR0 16
175,TR0 48
1750,TR0 38
1755,TR0 35
1756,TR0 30
1764,TR0 3
1767,TR0 39
1770,TR0 44
1773,TR0 8
1774,TR0 3
1777,TR0 18
1785,TR0 44
179,TR0 10
1790,TR0 1
1792,TR0 37
1793,TR0 33
1796,TR0 37
1797,TR0 11
