Line,0
10,62
1007,81
1008,30
1010,30
1015,67
1018,158
102,97
1022,51
1031,46
1034,139
1036,19
1038,19
104,99
1041,60
1042,60
1044,193
1047,46
105,131
1050,45
1051,45
1052,46
1054,152
1055,94
1060,37
1061,57
1063,60
1065,61
1066,57
1070,39
1074,44
1075,68
1079,30
1080,181
1082,39
1086,105
1087,107
1096,14
110,109
1100,17
1102,180
1105,180
1106,49
1108,176
1109,44
1112,124
1115,83
1117,84
1128,42
1131,21
1137,103
1138,103
1139,177
114,82
1141,87
1143,126
1147,70
1148,70
1152,96
1154,95
1155,42
1157,109
1159,109
116,82
1162,17
1166,122
1169,141
1170,141
1175,84
1181,85
1183,84
1185,80
119,12
1191,198
1199,119
1200,3
1206,0
1209,157
1215,24
1216,24
1219,177
1222,177
1234,160
1238,143
1257,127
1258,127
1264,29
1268,56
1281,32
1293,165
1300,75
1301,73
1305,150
1309,148
1315,93
1317,93
1322,36
1324,192
1332,137
1334,117
1339,2
1344,194
1345,19
1348,38
1349,41
1351,42
1353,182
1355,182
1361,161
1363,189
1364,166
1372,141
1377,184
1378,122
138,7
1381,112
1387,107
139,6
1391,9
1392,105
1394,105
1396,48
141,6
1414,108
1415,23
142,7
1421,93
1422,36
1427,47
1429,123
143,7
1433,78
1435,80
1437,145
144,7
1442,0
1443,116
1445,149
1446,83
1447,173
1448,186
145,7
1465,139
1467,177
1468,103
1475,11
1476,194
1478,67
1481,164
1482,78
1483,78
1488,198
1489,118
1490,145
1493,166
1497,147
15,26
1500,147
1502,50
1506,101
1507,180
1508,97
1511,47
1513,31
152,191
1521,88
1524,35
1532,187
1534,163
1536,163
1537,65
1539,162
1544,17
155,170
1552,162
1555,18
157,161
162,4
163,4
164,182
168,166
169,176
176,109
181,122
182,121
186,45
192,91
201,19
202,79
203,197
206,197
207,94
208,102
211,21
212,21
214,71
215,71
217,71
219,16
229,113
23,124
232,147
235,142
241,13
243,64
244,64
247,147
255,28
256,28
261,25
262,27
264,27
265,27
266,117
28,138
288,90
29,24
290,90
292,152
296,20
299,104
301,104
303,69
305,136
308,21
311,94
316,2
318,41
321,185
324,1
327,183
328,96
329,96
330,114
334,102
336,39
340,7
347,13
349,40
351,48
353,151
356,140
358,153
363,162
369,174
375,156
378,87
383,120
385,33
39,84
390,145
394,179
398,140
400,106
401,140
403,48
412,159
414,125
419,163
421,62
422,178
426,98
427,132
429,70
438,146
440,47
450,168
452,188
453,61
454,63
457,62
46,1
463,172
467,86
470,76
471,169
473,154
474,154
48,1
485,93
486,93
487,174
488,30
491,3
495,179
496,178
499,196
50,96
501,78
507,83
517,41
521,78
522,138
539,164
543,57
549,189
55,19
553,91
554,90
555,91
556,90
557,167
559,100
56,19
562,134
563,134
57,79
572,68
582,186
584,186
585,128
587,175
588,77
59,79
596,33
599,139
603,144
607,97
613,74
615,128
616,51
618,127
630,155
631,171
637,90
641,90
642,130
645,98
648,165
653,140
658,120
659,135
66,132
660,120
666,60
668,195
671,6
672,8
674,10
683,43
684,103
686,146
693,152
694,92
698,115
699,111
7,93
70,87
706,161
714,93
715,190
718,155
732,12
734,177
736,138
740,148
742,132
745,51
747,17
749,169
754,70
755,58
758,110
759,110
762,163
764,95
766,1
77,137
770,39
778,34
782,94
784,181
785,126
795,48
798,20
806,20
808,20
812,147
814,192
82,127
822,36
825,58
827,55
829,177
833,18
834,119
836,177
837,177
853,72
854,129
856,22
858,43
86,97
864,188
876,18
878,18
882,15
884,59
888,103
889,15
90,159
900,146
903,125
904,177
907,63
915,0
916,0
917,0
921,49
926,53
93,159
930,58
934,133
935,144
936,42
937,42
941,60
942,192
944,46
945,44
952,5
960,116
964,164
966,118
971,36
977,68
982,109
985,52
989,54
992,178
996,89
997,89
998,66
999,109
