,id,Type,Region,tags.generator:method,power_output_MW,tags.generator:source,tags.generator:type,tags.power,tags.source,name,tags.alt_name,other_tags,geometry,Country
31258,11104852897,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,NULL,"{ ""tags.manufacturer"": ""GE Energy"" }",POINT (27.773948 39.064433099999945),TR
31259,11104852898,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,NULL,"{ ""tags.manufacturer"": ""GE Energy"" }",POINT (27.780287899999927 39.06486249999995),TR
31260,11104852899,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,NULL,"{ ""tags.manufacturer"": ""GE Energy"" }",POINT (27.784585299999925 39.062354199999945),TR
31261,11104852904,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,NULL,"{ ""tags.manufacturer"": ""GE Energy"" }",POINT (27.787674 39.05783679999994),TR
31262,11104889905,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,NULL,"{ ""tags.manufacturer"": ""GE Energy"" }",POINT (27.793773399999903 39.056207399999934),TR
31263,11104889906,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,NULL,"{ ""tags.manufacturer"": ""GE Energy"" }",POINT (27.791377699999902 39.049260099999934),TR
31264,11104889907,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,NULL,"{ ""tags.manufacturer"": ""GE Energy"" }",POINT (27.7958370999999 39.050958),TR
31265,11104889908,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,NULL,"{ ""tags.manufacturer"": ""GE Energy"" }",POINT (27.8004773999999 39.048576),TR
31266,11104889909,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,NULL,"{ ""tags.manufacturer"": ""GE Energy"" }",POINT (27.7892240999999 39.06620309999994),TR
31267,11104889910,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,NULL,"{ ""tags.manufacturer"": ""GE Energy"" }",POINT (27.793447599999897 39.07313749999994),TR
