,id,Type,Region,tags.generator:method,power_output_MW,tags.generator:source,tags.generator:type,tags.power,tags.source,name,tags.alt_name,other_tags,geometry,Country
1,176009143,area,TR,combined_cycle,770.0,gas,NULL,generator,http://en.bayenerji.com/about_us/baymina_enerji.aspx,NULL,NULL,"{ ""tags.start_date"": ""05-02-2004"" }","POLYGON ((32.4031964000002 39.77775030000022, 32.4029449000002 39.77741720000022, 32.4026097000002 39.77756670000022, 32.4025145000002 39.77744070000022, 32.4021472000002 39.77760450000022, 32.4022321000002 39.77771700000022, 32.4019405000002 39.77784700000022, 32.4022023000002 39.778193600000215, 32.4031964000002 39.77775030000022))",TR
16,371966801,area,TR,combustion,135.0,coal,steam_turbine,generator,NULL,Ceytaş Termik Santrali,NULL,"{ ""tags.building"": ""industrial"", ""tags.operator"": ""Silopi Elektrik Üretim Anonim Şirketi"" }","POLYGON ((42.5965418 37.31231570000016, 42.5962455 37.31199660000016, 42.5978634 37.310921200000166, 42.5981872 37.31129380000016, 42.5965418 37.31231570000016))",TR
17,371966802,area,TR,combustion,135.0,coal,steam_turbine,generator,NULL,NULL,NULL,"{ ""tags.building"": ""industrial"" }","POLYGON ((42.59382570000001 37.311059700000165, 42.593514 37.310723700000175, 42.5946319 37.31006740000017, 42.5949437 37.310403400000176, 42.59382570000001 37.311059700000165))",TR
18,395545450,area,TR,NULL,15.0,geothermal,NULL,generator,NULL,Kızıldere (Zorlu) JES,NULL,"{ ""tags.building"": ""yes"", ""tags.operator"": ""Zorlu Enerji"", ""tags.addr:city"": ""Sarayköy\/Denizli"" }","POLYGON ((28.843723199999967 37.95704280000002, 28.84333169999997 37.956777200000026, 28.843225399999966 37.95687460000002, 28.84361689999997 37.95714020000002, 28.843723199999967 37.95704280000002))",TR
29,416943310,area,TR,photovoltaic,2.0,solar,solar_photovoltaic_panel,generator,bing,YAYLA Agro Gıda,NULL,"{ ""tags.ref"": ""GMC"" }","POLYGON ((32.63330120000008 40.048665300000046, 32.63396130000008 40.04899980000005, 32.634333100000084 40.048569800000045, 32.633673 40.048235300000044, 32.63330120000008 40.048665300000046))",TR
55,475229779,area,TR,photovoltaic,0.0,solar,solar_photovoltaic_panel,generator,NULL,Dicle Üniversitesi Güneş Enerjisi Santrali,NULL,NULL,"POLYGON ((40.277487899999805 37.91489920000016, 40.277450799999805 37.914822400000155, 40.2779095999998 37.914684500000156, 40.2782766999998 37.91544490000015, 40.2779551999998 37.91554150000015, 40.277625299999805 37.91485790000015, 40.277487899999805 37.91489920000016))",TR
66,476063692,area,TR,photovoltaic,1.0,solar,solar_photovoltaic_panel,generator,NULL,Güneş Enerjisi Elektrik Üretim Santrali,NULL,"{ ""tags.operator"": ""ASTÜRK Enerji GES-1"" }","POLYGON ((29.5645432 37.861443800000124, 29.5646151 37.86115220000013, 29.564675 37.860898399999975, 29.56611560000003 37.86111349999998, 29.5668726 37.86127080000013, 29.5664929 37.86177240000013, 29.565512700000028 37.86158269999998, 29.5645432 37.861443800000124))",TR
69,476063695,area,TR,photovoltaic,1.0,solar,solar_photovoltaic_panel,generator,NULL,Güneş Enerjisi Elektrik Üretim Santrali,NULL,"{ ""tags.operator"": ""ASTÜRK Enerji GES-3"" }","POLYGON ((29.5811093 37.86616680000014, 29.581187300000025 37.8657452999999, 29.5806163 37.86481590000014, 29.5803746 37.86447140000014, 29.5800728 37.863668500000145, 29.580435 37.86378240000015, 29.5809251 37.86396790000015, 29.581022400000027 37.864255, 29.581168600000026 37.8645548999999, 29.581295600000026 37.8647552999999, 29.581627 37.86517250000015, 29.581639400000025 37.8653327999999, 29.5819693 37.86581720000015, 29.5811093 37.86616680000014))",TR
70,476063696,area,TR,photovoltaic,1.0,solar,solar_photovoltaic_panel,generator,NULL,Güneş Enerji Elektrik Üretim Santrali,NULL,"{ ""tags.operator"": ""ASTÜRK Enerji GES-2"" }","POLYGON ((29.5705287 37.85101650000015, 29.5686684 37.85022290000015, 29.5687049 37.85006920000015, 29.56899 37.85011529999998, 29.5700612 37.85034580000015, 29.5703627 37.850088400000146, 29.57086510000003 37.850363, 29.57124 37.85057620000015, 29.5716018 37.850408800000146, 29.5724004 37.851290900000144, 29.572160900000032 37.851352399999975, 29.571787 37.851290900000144, 29.5714799 37.85109910000014, 29.5709298 37.850995400000144, 29.5705287 37.85101650000015))",TR
82,476127452,area,TR,photovoltaic,0.0,solar,solar_photovoltaic_panel,generator,NULL,Karamanoğlu Mehmet Bey Üniv. Güneş Enerjisi Santrali,NULL,"{ ""tags.operator"": ""Karamanoğlu Mehmet Bey Üniversitesi"", ""tags.addr:city"": ""Karaman"" }","POLYGON ((33.25596260000006 37.169510800000204, 33.25598510000006 37.16847440000021, 33.25752710000006 37.16845500000021, 33.25749919999992 37.169036699999786, 33.25740480000006 37.16947000000021, 33.25596260000006 37.169510800000204))",TR
90,479209709,area,TR,photovoltaic,1.0,solar,solar_photovoltaic_panel,generator,NULL,Germencik Tavuk Çiftliği Güneş Elektriği Santrali,NULL,"{ ""tags.operator"": ""Germencik Tavuk Çiftliği"", ""tags.addr:city"": ""Aydın"", ""tags.location"": ""roof"", ""tags.addr:district"": ""Germencik"" }","POLYGON ((27.561265599999906 37.87448780000001, 27.561477899999907 37.87371370000001, 27.562141899999908 37.8738583, 27.56189969999991 37.87465440000001, 27.561265599999906 37.87448780000001))",TR
355,761483914,area,TR,combustion,610.0,gas,combined_cycle,generator,bing,Tekkeköy TES,NULL,"{ ""tags.building"": ""yes"", ""tags.frequency"": ""50"", ""tags.generator:plant"": ""output"" }","POLYGON ((36.479155300000215 41.23896790000017, 36.47880340000022 41.23897000000017, 36.478797700000214 41.23950510000017, 36.481190300000215 41.23949160000017, 36.48119320000021 41.238961600000174, 36.479155300000215 41.23896790000017))",TR
543,784598419,area,TR,combustion,210.0,coal,steam_turbine,generator,NULL,NULL,NULL,NULL,"POLYGON ((27.870727299999864 37.14006070000026, 27.87044040000004 37.140493199999824, 27.87312880000004 37.14162679999983, 27.873392299999864 37.141229600000266, 27.870727299999864 37.14006070000026))",TR
618,789969418,area,TR,combustion,600.0,coal,steam_turbine,generator,NULL,NULL,NULL,NULL,"POLYGON ((27.049111 40.40065659999998, 27.04815739999998 40.400292399999884, 27.04956829999998 40.39803319999989, 27.05055270000007 40.398436599999975, 27.049111 40.40065659999998))",TR
619,791536756,area,TR,photovoltaic,0.0,solar,solar_photovoltaic_panel,generator,NULL,Şehr-i Nuh Otel Güneş Enerji Santrali,NULL,NULL,"POLYGON ((42.43845069999965 37.51208499999964, 42.43907359999965 37.512065399999635, 42.43937969999965 37.51188009999963, 42.43913019999965 37.51163589999963, 42.438411699999655 37.51166669999963, 42.43824179999965 37.51172849999963, 42.43808609999965 37.51184639999963, 42.43845069999965 37.51208499999964))",TR
757,819809037,area,TR,photovoltaic,5.0,solar,solar_photovoltaic_panel,generator,NULL,Güneş Enerji Santrali,NULL,"{ ""tags.operator"": ""Yayla Agro Gıda"", ""tags.ref"": ""GMC Enerji"" }","POLYGON ((33.13850160000009 40.227745600000084, 33.138661800000094 40.227501, 33.1391424000001 40.22714340000008, 33.1394752000001 40.22693640000008, 33.1397093000001 40.22694580000008, 33.1399681000001 40.22703050000008, 33.1404241000001 40.227369300000085, 33.140880100000096 40.227849100000086, 33.1412129000001 40.22799970000008, 33.14194 40.227501, 33.1404488000001 40.226654200000084, 33.1398202000001 40.22626840000009, 33.139512100000104 40.225863800000084, 33.1397216000001 40.22561910000008, 33.1397093000001 40.22528040000008, 33.1397216000001 40.22504510000008, 33.140103700000104 40.22473460000008, 33.1395861000001 40.224264100000084, 33.138920600000105 40.22464990000008, 33.138908300000104 40.22472520000008, 33.138969900000106 40.22492280000008, 33.1387234000001 40.22532740000008, 33.1380332000001 40.225750800000085, 33.1370103000001 40.226917600000085, 33.1377128000001 40.22712460000009, 33.138292 40.227435100000086, 33.1381688000001 40.227745600000084, 33.1377621000001 40.22800910000009, 33.137355400000104 40.228178500000084, 33.136998000000105 40.22816910000008, 33.13641880000011 40.22849840000008, 33.13677620000011 40.228752400000076, 33.13773750000011 40.22836670000007, 33.138279700000105 40.228018500000076, 33.13850160000009 40.227745600000084))",TR
787,824725544,area,TR,combustion,600.0,coal,steam_turbine,generator,NULL,NULL,NULL,NULL,"POLYGON ((27.05055270000007 40.398436599999975, 27.05154239999998 40.39884209999989, 27.04996519999998 40.40098279999989, 27.049111 40.40065659999998, 27.05055270000007 40.398436599999975))",TR
810,824934496,area,TR,combustion,135.0,coal,steam_turbine,generator,NULL,Ceytaş Termik Santrali,NULL,"{ ""tags.building"": ""industrial"", ""tags.operator"": ""Silopi Elektrik Üretim Anonim Şirketi"" }","POLYGON ((42.5981872 37.31129380000016, 42.59850519999986 37.311595400000265, 42.59684749999986 37.312632200000266, 42.5965418 37.31231570000016, 42.5981872 37.31129380000016))",TR
812,824934498,area,TR,combustion,210.0,coal,steam_turbine,generator,NULL,NULL,NULL,NULL,"POLYGON ((27.873392299999864 37.141229600000266, 27.873700200000037 37.140765599999824, 27.871011500000037 37.139632399999826, 27.870727299999864 37.14006070000026, 27.873392299999864 37.141229600000266))",TR
940,880625933,area,TR,fission,1200.0,nuclear,VVER,generator,NULL,NULL,NULL,"{ ""tags.building"": ""construction"", ""tags.construction"": ""industrial"", ""tags.generator:output:heat"": ""3200 MW"" }","POLYGON ((33.539976899999914 36.14571220000041, 33.54071709999992 36.14571290000041, 33.540718 36.14506230000041, 33.54088 36.1450624, 33.54088110000006 36.1441848, 33.540713800000056 36.1441846, 33.54071480000005 36.1433225, 33.54065260000006 36.1433225, 33.54065280000006 36.1430608, 33.54008940000006 36.1430605, 33.54008920000006 36.1432988, 33.540013900000055 36.1432987, 33.54001290000006 36.1441878, 33.53983410000006 36.1441876, 33.539833 36.1450829, 33.53997769999992 36.14508310000041, 33.539976899999914 36.14571220000041))",TR
1571,942239736,area,TR,photovoltaic,4.0,solar,solar_photovoltaic_panel,generator,NULL,NULL,NULL,"{ ""tags.location"": ""roof"" }","POLYGON ((27.443780899999947 37.76256079999978, 27.443794899999954 37.75959819999978, 27.443952599999953 37.75960169999978, 27.44398929999995 37.75895999999978, 27.442000899999954 37.758927199999775, 27.441994899999955 37.75915729999978, 27.442216 37.75916149999978, 27.442192599999952 37.76255759999978, 27.443780899999947 37.76256079999978))",TR
1688,998720168,area,TR,photovoltaic,10.0,solar,solar_photovoltaic_panel,generator,NULL,NULL,NULL,"{ ""tags.location"": ""roof"" }","POLYGON ((32.775438 39.94509379999991, 32.77642910000004 39.94526630000006, 32.776464200000035 39.94515, 32.77748830000004 39.94534, 32.777458900000035 39.945437, 32.779132300000036 39.94573640000006, 32.77917620000004 39.945629100000055, 32.77931480000004 39.94565730000006, 32.779371100000034 39.945536800000056, 32.77978980000003 39.94559530000006, 32.779751 39.94574140000006, 32.780322700000035 39.945845700000056, 32.780291 39.94595850000005, 32.78083110000003 39.946055300000054, 32.78086470000003 39.94595160000006, 32.78117720000003 39.945997600000055, 32.78121680000003 39.945879, 32.78164990000003 39.94594610000006, 32.78156120000003 39.94622760000006, 32.78254310000002 39.946414500000046, 32.78262410000002 39.946157200000044, 32.782765400000066 39.94618129999991, 32.782947700000065 39.945715899999904, 32.782782 39.945688100000055, 32.78284990000002 39.945508, 32.78215520000003 39.945373800000056, 32.782202 39.94525340000005, 32.781765 39.94517010000005, 32.78164080000003 39.945522, 32.78121650000003 39.94544390000005, 32.78140960000007 39.9448408999999, 32.78127080000002 39.94481730000005, 32.78130590000002 39.94468, 32.781164600000025 39.94466120000005, 32.78121310000009 39.94450580000014, 32.781091 39.94447040000005, 32.78113720000002 39.94432160000005, 32.78083080000006 39.94424030000015, 32.780866 39.94413709999991, 32.78014240000006 39.94400070000015, 32.780118 39.944104199999906, 32.77980880000002 39.94404840000005, 32.779888100000065 39.94381119999991, 32.77776660000006 39.943420800000155, 32.77770710000006 39.94356690000016, 32.77652920000006 39.943377599999906, 32.77644810000002 39.94363230000005, 32.77590650000002 39.94353380000005, 32.77585990000002 39.94365910000005, 32.77556450000006 39.943624500000155, 32.77550390000006 39.94376780000015, 32.77508740000006 39.943696199999906, 32.77504690000002 39.94380320000005, 32.77520970000002 39.943833300000044, 32.77506820000002 39.94425750000005, 32.77520290000002 39.944278400000044, 32.77512290000002 39.94460030000005, 32.775253300000024 39.94462340000005, 32.77515630000003 39.944980200000046, 32.77545360000003 39.945031700000044, 32.775438 39.94509379999991))",TR
1692,1000278078,area,TR,photovoltaic,5.0,solar,solar_photovoltaic_panel,generator,NULL,NULL,NULL,"{ ""tags.location"": ""roof"" }","POLYGON ((37.85560960000004 40.92346959999986, 37.855886 40.92354019999986, 37.855690900000035 40.923973299999865, 37.85629260000003 40.92413609999986, 37.85600390000003 40.924851899999865, 37.855934800000036 40.92501159999986, 37.856365800000034 40.92513139999986, 37.85629260000003 40.92529419999986, 37.85703660000003 40.92548159999986, 37.85698370000003 40.92566589999986, 37.857809 40.92589319999986, 37.857752100000035 40.92601299999986, 37.855052600000036 40.92537099999986, 37.854922500000036 40.92524809999986, 37.85509530000004 40.92479809999986, 37.85504750000004 40.92474819999986, 37.85560960000004 40.92346959999986))",TR
1709,1006367567,area,TR,photovoltaic,1.0,solar,solar_photovoltaic_panel,generator,NULL,NULL,NULL,"{ ""tags.operator"": ""Yayla Agro Gıda"", ""tags.location"": ""roof"" }","POLYGON ((32.6340359 40.04795950000002, 32.6343686 40.047163, 32.6349313 40.047279500000016, 32.6345738 40.048105800000016, 32.6340359 40.04795950000002))",TR
1762,1058306768,area,TR,fission,1200.0,nuclear,VVER,generator,NULL,NULL,NULL,"{ ""tags.building"": ""construction"", ""tags.construction"": ""industrial"", ""tags.generator:output:heat"": ""3200 MW"" }","POLYGON ((33.53747530000006 36.1457398, 33.53821560000006 36.1457404, 33.53821640000006 36.1450898, 33.53837840000006 36.1450899, 33.53837950000006 36.1442123, 33.53821230000006 36.1442122, 33.538213200000065 36.14335, 33.538151 36.14335, 33.538151200000065 36.1430883, 33.53758780000007 36.143088, 33.5375876000001 36.14332629999997, 33.5375123000001 36.14332629999997, 33.5375114000001 36.14421529999997, 33.5373326000001 36.14421519999997, 33.5373315000001 36.14511049999997, 33.5374762000001 36.145110599999974, 33.53747530000006 36.1457398))",TR
1763,1058306769,area,TR,fission,1200.0,nuclear,VVER,generator,NULL,NULL,NULL,"{ ""tags.building"": ""construction"", ""tags.construction"": ""industrial"", ""tags.generator:output:heat"": ""3200 MW"" }","POLYGON ((33.5351327000001 36.145749599999974, 33.535873 36.14575019999997, 33.535873700000096 36.14509959999997, 33.53603580000009 36.145099699999975, 33.53603680000009 36.14422209999997, 33.53586960000009 36.144222, 33.535870500000094 36.14335979999997, 33.53580830000009 36.14335979999997, 33.535808600000095 36.14309819999997, 33.5352451000001 36.14309769999997, 33.535244900000095 36.14333609999997, 33.535169600000096 36.14333609999997, 33.53516870000009 36.14422509999997, 33.53498980000009 36.144225, 33.53498890000009 36.145120299999974, 33.535133400000085 36.145120399999975, 33.5351327000001 36.145749599999974))",TR
1764,1058306770,area,TR,fission,1200.0,nuclear,VVER,generator,NULL,NULL,NULL,"{ ""tags.building"": ""construction"", ""tags.construction"": ""industrial"", ""tags.generator:output:heat"": ""3200 MW"" }","POLYGON ((33.532821600000084 36.14583629999998, 33.533561800000086 36.14583689999998, 33.53356260000009 36.14518629999998, 33.53372460000009 36.14518649999998, 33.53372570000009 36.14430879999998, 33.53355840000009 36.14430869999998, 33.53355950000009 36.14344659999998, 33.53349710000009 36.14344649999998, 33.53349750000009 36.14318489999998, 33.532934 36.14318439999998, 33.53293380000009 36.14342289999998, 33.53285860000009 36.14342279999998, 33.53285750000009 36.144311899999984, 33.53267880000009 36.14431169999998, 33.53267770000009 36.145207, 33.53282230000009 36.145207099999986, 33.532821600000084 36.14583629999998))",TR
1804,1091677950,area,TR,combustion,1.0,diesel,NULL,generator,NULL,NULL,NULL,"{ ""tags.frequency"": ""50"" }","POLYGON ((29.063979 40.308715599999985, 29.0639987 40.308710799999986, 29.063987 40.308682699999984, 29.0639673 40.308687499999984, 29.063979 40.308715599999985))",TR
1805,1091677951,area,TR,combustion,1.0,diesel,NULL,generator,NULL,NULL,NULL,"{ ""tags.frequency"": ""50"" }","POLYGON ((29.0639535 40.308722, 29.0639683 40.30871819999999, 29.0639549 40.308688, 29.0639401 40.3086918, 29.0639535 40.308722))",TR
3166,1342393236,area,TR,photovoltaic,4.0,solar,solar_photovoltaic_panel,generator,NULL,NULL,NULL,"{ ""tags.generator:plant"": ""intermediate"", ""tags.generator:solar:tracking"": ""no"" }","POLYGON ((27.96028560000005 41.292821300000035, 27.96009050000005 41.29260440000004, 27.960432 41.29247620000004, 27.96040760000005 41.29234480000004, 27.96007020000005 41.29181030000004, 27.96235490000005 41.29097940000004, 27.96250540000005 41.29097330000004, 27.96343230000005 41.29188360000004, 27.963664 41.29200270000004, 27.96383480000005 41.292131, 27.96380230000005 41.29221960000004, 27.96314770000005 41.29247310000004, 27.96158250000005 41.29311150000004, 27.961293900000047 41.29272970000004, 27.961163800000048 41.292635, 27.96087110000005 41.29261670000004, 27.96078970000005 41.29263190000004, 27.96028560000005 41.292821300000035))",TR
3888,1435649676,area,TR,photovoltaic,1.0,solar,solar_photovoltaic_panel,generator,NULL,NULL,NULL,"{ ""tags.operator"": ""Shell Derince Madeni Yağ ve Gres Üretimi Tesisi"", ""tags.location"": ""roof"" }","POLYGON ((29.857215199999864 40.755011699999876, 29.857702199999864 40.75396609999988, 29.858109699999865 40.75407189999988, 29.857635699999864 40.75513099999988, 29.857215199999864 40.755011699999876))",TR
3889,1435649677,area,TR,photovoltaic,1.0,solar,solar_photovoltaic_panel,generator,NULL,NULL,NULL,"{ ""tags.operator"": ""Shell Derince Madeni Yağ ve Gres Üretimi Tesisi"", ""tags.location"": ""roof"" }","POLYGON ((29.856166299999863 40.75439339999988, 29.85623819999986 40.75423919999988, 29.856860299999862 40.754405499999876, 29.856788299999863 40.754559899999876, 29.856166299999863 40.75439339999988))",TR
3890,1435649678,area,TR,photovoltaic,1.0,solar,solar_photovoltaic_panel,generator,NULL,NULL,NULL,"{ ""tags.operator"": ""Shell Derince Madeni Yağ ve Gres Üretimi Tesisi"", ""tags.location"": ""roof"" }","POLYGON ((29.856242099999864 40.754230999999876, 29.856313999999863 40.75407679999988, 29.856936099999864 40.754243099999876, 29.856864199999865 40.754397499999875, 29.856242099999864 40.754230999999876))",TR
3891,1435649679,area,TR,photovoltaic,1.0,solar,solar_photovoltaic_panel,generator,NULL,NULL,NULL,"{ ""tags.operator"": ""Shell Derince Madeni Yağ ve Gres Üretimi Tesisi"", ""tags.location"": ""roof"" }","POLYGON ((29.858001799999865 40.75439579999988, 29.858105599999867 40.754422899999874, 29.85786129999987 40.754958699999875, 29.85775739999987 40.75493149999988, 29.858001799999865 40.75439579999988))",TR
27591,1883583186,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),Rüzgâr Türbini,Rüzgâr Enerjisi,NULL,POINT (36.041659200000026 36.08584079999993),TR
27592,1883583197,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),Rüzgâr Türbini,Rüzgâr Enerjisi,NULL,POINT (36.03971110000002 36.087356),TR
27593,1883583212,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),Rüzgâr Türbini,Rüzgâr Enerjisi,NULL,POINT (36.04296320000002 36.09015059999994),TR
27594,1883583251,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),Rüzgâr Türbini,Rüzgâr Enerjisi,NULL,POINT (36.040683 36.09373929999995),TR
27595,1883583298,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),Rüzgâr Türbini,Rüzgâr Enerjisi,NULL,POINT (36.03462240000001 36.09658259999998),TR
27596,1883583316,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),Rüzgâr Türbini,Rüzgâr Enerjisi,NULL,POINT (36.04517280000001 36.097288299999974),TR
27597,1883583353,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),Rüzgâr Türbini,Rüzgâr Enerjisi,NULL,POINT (36.039910100000014 36.09828279999997),TR
27598,1883583478,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),Rüzgâr Türbini,Rüzgâr Enerjisi,NULL,POINT (36.03978640000001 36.10114759999995),TR
27599,1883583543,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),Rüzgâr Türbini,Rüzgâr Enerjisi,NULL,POINT (36.0376678 36.103025099999954),TR
27600,1883583567,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),Rüzgâr Türbini,Rüzgâr Enerjisi,NULL,POINT (36.0460028 36.10396379999995),TR
27601,1883583597,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),NULL,NULL,NULL,POINT (36.0434293 36.105489499999976),TR
27602,1883583610,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),Rüzgâr Türbini,Rüzgâr Enerjisi,NULL,POINT (36.0404754 36.1061431),TR
27603,1883583665,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),Rüzgâr Türbini,Rüzgâr Enerjisi,NULL,POINT (36.03878640000003 36.107837399999966),TR
27604,1883583695,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),Rüzgâr Türbini,Rüzgâr Enerjisi,NULL,POINT (36.04287180000003 36.10971319999996),TR
27605,1883583697,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),Rüzgâr Türbini,Rüzgâr Enerjisi,NULL,POINT (36.04761180000003 36.10991549999996),TR
27606,1883583727,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),Rüzgâr Türbini,Rüzgâr Enerjisi,NULL,POINT (36.04558060000003 36.111920699999956),TR
27755,1930971470,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),Rüzgâr Türbini,Rüzgâr Enerjisi,"{ ""tags.operator"": ""BOREAS Enerji Üretim Sistemleri Sanayi ve Ticaret A.Ş."", ""tags.frequency"": ""50"" }",POINT (26.196309999999855 40.719861900000076),TR
27756,1930971477,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),Rüzgâr Türbini,Rüzgâr Enerjisi,"{ ""tags.operator"": ""BOREAS Enerji Üretim Sistemleri Sanayi ve Ticaret A.Ş."", ""tags.frequency"": ""50"" }",POINT (26.193683399999852 40.72041410000007),TR
27757,1930971486,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),Rüzgâr Türbini,Rüzgâr Enerjisi,"{ ""tags.operator"": ""BOREAS Enerji Üretim Sistemleri Sanayi ve Ticaret A.Ş."", ""tags.frequency"": ""50"" }",POINT (26.18657309999985 40.720742200000075),TR
27758,1930971488,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),Rüzgâr Türbini,Rüzgâr Enerjisi,"{ ""tags.operator"": ""BOREAS Enerji Üretim Sistemleri Sanayi ve Ticaret A.Ş."", ""tags.frequency"": ""50"" }",POINT (26.18358649999985 40.720778600000074),TR
27759,1930971504,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),Rüzgâr Türbini,Rüzgâr Enerjisi,"{ ""tags.operator"": ""BOREAS Enerji Üretim Sistemleri Sanayi ve Ticaret A.Ş."", ""tags.frequency"": ""50"" }",POINT (26.18031579999985 40.721030200000065),TR
27760,1930971523,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),Rüzgâr Türbini,Rüzgâr Enerjisi,"{ ""tags.operator"": ""BOREAS Enerji Üretim Sistemleri Sanayi ve Ticaret A.Ş."", ""tags.frequency"": ""50"" }",POINT (26.189819099999852 40.72115950000006),TR
27816,1932516060,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),NULL,NULL,"{ ""tags.manufacturer"": ""Enercon"" }",POINT (27.180331699999968 38.887304400000026),TR
27817,1932516070,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),NULL,NULL,"{ ""tags.manufacturer"": ""Enercon"" }",POINT (27.178409299999966 38.88832940000003),TR
27818,1932516105,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),NULL,NULL,"{ ""tags.manufacturer"": ""Enercon"" }",POINT (27.176746199999965 38.88987140000003),TR
27820,1932516171,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),NULL,NULL,"{ ""tags.manufacturer"": ""Enercon"" }",POINT (27.174999199999952 38.89123140000005),TR
27821,1932516244,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),NULL,NULL,"{ ""tags.manufacturer"": ""Enercon"" }",POINT (27.17315489999995 38.89253830000002),TR
27823,1932516308,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),NULL,NULL,"{ ""tags.manufacturer"": ""Enercon"" }",POINT (27.171234399999957 38.893794),TR
27825,1932516314,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),NULL,NULL,"{ ""tags.manufacturer"": ""Enercon"" }",POINT (27.169101899999955 38.89485020000004),TR
27827,1932516424,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),NULL,NULL,"{ ""tags.manufacturer"": ""Enercon"" }",POINT (27.16780139999996 38.896958),TR
27829,1932516432,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),NULL,NULL,"{ ""tags.manufacturer"": ""Enercon"" }",POINT (27.165433799999956 38.897343800000016),TR
27830,1932516467,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),NULL,NULL,"{ ""tags.manufacturer"": ""Enercon"" }",POINT (27.163515299999954 38.898725),TR
27831,1932516496,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),NULL,NULL,"{ ""tags.manufacturer"": ""Enercon"" }",POINT (27.16933669999995 38.8998773),TR
27832,1932516498,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),NULL,NULL,"{ ""tags.manufacturer"": ""Enercon"" }",POINT (27.161825 38.9000155),TR
27834,1932516559,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),NULL,NULL,"{ ""tags.manufacturer"": ""Enercon"" }",POINT (27.167856299999958 38.9013715),TR
27835,1932516560,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),NULL,NULL,"{ ""tags.manufacturer"": ""Enercon"" }",POINT (27.15988909999996 38.9013666),TR
27836,1932516617,node,TR,wind_turbine,2.0,wind,horizontal_axis,generator,Maxar Premium-Luftbilder (Beta),NULL,NULL,"{ ""tags.manufacturer"": ""Enercon"" }",POINT (27.166770699999958 38.90317260000001),TR
